id,name,bundesland,ags,ars,kommunaltyp,verwaltungstyp,parent_id,nuts_code,lau_code
5251,Laufach,Bayern,09671139,096710139139,GEMEINDE,Gemeindeverwaltung,,,
3818,Dietramszell,Bayern,09173118,091730118118,GEMEINDE,Gemeindeverwaltung,,,
2064,Grävenwiesbach,Hessen,06434004,064340004004,GEMEINDE,Gemeindeverwaltung,,,
3064,Obrigheim (BCH),Baden-Württemberg,08225074,082255005074,GEMEINDE,Gemeindeverwaltung,,,
3922,Moosinning,Bayern,09177130,091770130130,GEMEINDE,Gemeindeverwaltung,,,
3809,Saaldorf-Surheim,Bayern,09172130,091720130130,GEMEINDE,Gemeindeverwaltung,,,
2714,Bad Boll,Baden-Württemberg,08117012,081175009012,GEMEINDE,Gemeindeverwaltung,,,
3496,Stühlingen,Baden-Württemberg,08337106,083370106106,GEMEINDE,Gemeindeverwaltung,,,
518,Laboe,Schleswig-Holstein,01057043,010575755043,GEMEINDE,Gemeindeverwaltung,,,
4646,Velburg,Bayern,09373167,093730167167,GEMEINDE,Gemeindeverwaltung,,,
7487,Bennewitz,Sachsen,14729030,147290030030,GEMEINDE,Gemeindeverwaltung,,,
3251,Münstertal / Schwarzwald,Baden-Württemberg,08315130,083155016130,GEMEINDE,Gemeindeverwaltung,,,
679,Osterrönfeld,Schleswig-Holstein,01058124,010585888124,GEMEINDE,Gemeindeverwaltung,,,
5552,Affing,Bayern,09771112,097710112112,GEMEINDE,Gemeindeverwaltung,,,
3210,Bötzingen,Baden-Württemberg,08315013,083155009013,GEMEINDE,Gemeindeverwaltung,,,
2899,Satteldorf,Baden-Württemberg,08127073,081275002073,GEMEINDE,Gemeindeverwaltung,,,
2214,Driedorf,Hessen,06532007,065320007007,GEMEINDE,Gemeindeverwaltung,,,
3819,Egling,Bayern,09173120,091730120120,GEMEINDE,Gemeindeverwaltung,,,
3566,Rangendingen,Baden-Württemberg,08417051,084175004051,GEMEINDE,Gemeindeverwaltung,,,
2907,Rosengarten,Baden-Württemberg,08127100,081275009100,GEMEINDE,Gemeindeverwaltung,,,
3918,Isen,Bayern,09177123,091770123123,GEMEINDE,Gemeindeverwaltung,,,
2013,Lindenfels,Hessen,06431015,064310015015,GEMEINDE,Gemeindeverwaltung,,,
5772,Babenhausen (MN),Bayern,09778115,097785758115,GEMEINDE,Gemeindeverwaltung,,,
2351,Habichtswald,Hessen,06633011,066330011011,GEMEINDE,Gemeindeverwaltung,,,
5892,Weitnau,Bayern,09780144,097805745144,GEMEINDE,Gemeindeverwaltung,,,
3162,Heimsheim,Baden-Württemberg,08236025,082365001025,GEMEINDE,Gemeindeverwaltung,,,
3232,Lenzkirch,Baden-Württemberg,08315068,083150068068,GEMEINDE,Gemeindeverwaltung,,,
4704,Laaber,Bayern,09375162,093755333162,GEMEINDE,Gemeindeverwaltung,,,
3249,Umkirch,Baden-Württemberg,08315115,083155011115,GEMEINDE,Gemeindeverwaltung,,,
5282,Oerlenbach,Bayern,09672140,096720140140,GEMEINDE,Gemeindeverwaltung,,,
4569,Hahnbach,Bayern,09371126,093715301126,GEMEINDE,Gemeindeverwaltung,,,
5085,Hemhofen,Bayern,09572130,095720130130,GEMEINDE,Gemeindeverwaltung,,,
5856,Oettingen in Bayern,Bayern,09779197,097795721197,GEMEINDE,Gemeindeverwaltung,,,
3924,Oberding,Bayern,09177133,091775123133,GEMEINDE,Gemeindeverwaltung,,,
